Label (Grouping),"New York city, New York"
Total:,"8,804,190"
    Population of one race:,"7,917,093"
        White alone,"3,000,945"
        Black or African American alone,"1,943,645"
        American Indian and Alaska Native alone,"86,218"
        Asian alone,"1,385,144"
        Native Hawaiian and Other Pacific Islander alone,"6,874"
        Some Other Race alone,"1,494,267"
    Population of two or more races:,"887,097"
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
