YEAR,BOROUGH,BUILDING CLASS CATEGORY, NUMBER OF SALES , MINIMUM SALE PRICE , AVERAGE SALE PRICE , MEDIAN SALE PRICE , MAXIMUM SALE PRICE 
2019,Manhattan,01 ONE FAMILY DWELLINGS,101,"375,000","9,256,384","7,200,000","77,100,000"
2019,Manhattan,02 TWO FAMILY DWELLINGS,74,"425,000","5,454,151","3,925,000","25,500,000"
2019,Manhattan,03 THREE FAMILY DWELLINGS,42,"531,527","4,400,861","2,375,000","24,000,000"
2019,Bronx,01 ONE FAMILY DWELLINGS,"1,019","200,000","548,758","485,000","5,000,000"
2019,Bronx,02 TWO FAMILY DWELLINGS,"1,364","200,000","596,455","600,000","2,400,000"
2019,Bronx,03 THREE FAMILY DWELLINGS,438,"200,000","702,282","700,000","3,900,000"
2019,Brooklyn,01 ONE FAMILY DWELLINGS,"2,023","200,000","1,003,242","750,000","19,900,000"
2019,Brooklyn,02 TWO FAMILY DWELLINGS,"3,108","200,000","1,172,397","920,000","19,900,000"
2019,Brooklyn,03 THREE FAMILY DWELLINGS,"1,008","200,000","1,369,110","1,172,994","14,187,500"
2019,Queens,01 ONE FAMILY DWELLINGS,"5,657","200,000","686,389","625,000","19,900,000"
2019,Queens,02 TWO FAMILY DWELLINGS,"3,216","200,000","1,122,864","775,000","33,000,000"
2019,Queens,03 THREE FAMILY DWELLINGS,620,"200,000","1,061,177","999,945","2,675,000"
2019,Staten Island,01 ONE FAMILY DWELLINGS,"3,180","200,000","568,505","535,000","14,300,000"
2019,Staten Island,02 TWO FAMILY DWELLINGS,"1,147","200,000","688,954","680,000","1,951,000"
2019,Staten Island,03 THREE FAMILY DWELLINGS,41,"216,000","692,778","650,000","1,850,000"
2019,CITYWIDE,01 ONE FAMILY DWELLINGS,"11,980","200,000","769,147","590,000","77,100,000"
2019,CITYWIDE,02 TWO FAMILY DWELLINGS,"8,909","200,000","1,039,661","755,000","33,000,000"
2019,CITYWIDE,03 THREE FAMILY DWELLINGS,"2,149","200,000","1,190,708","947,000","24,000,000"
